,Retorno_Esperado,Volatilidade
IRFM11.SA,0.07128857055866591,0.0386803028433036
IMAB11.SA,0.05693896826970194,0.06907774332675085
^BVSP,0.07625727628282164,0.22621001187714437
^GSPC,0.14885894607769418,0.17039886637642832
BRL=X,0.05032684069684692,0.1436724128400917
GC=F,0.16899630551531403,0.1425341319481817
BTC-USD,0.6453098151408022,0.6455317179282282
