,IRFM11.SA,IMAB11.SA,^BVSP,^GSPC,BRL=X,GC=F,BTC-USD
IRFM11.SA,1.0,0.6106279060896395,0.45406219285031746,0.13531085128254824,-0.4644759646542213,0.31290422596753265,-0.006431738578601999
IMAB11.SA,0.6106279060896395,1.0,0.5963233742715912,0.2173650740249803,-0.5383370334223817,0.260979237574599,0.16900658731112703
^BVSP,0.45406219285031746,0.5963233742715912,1.0,0.5784402664592055,-0.7023481399298925,0.29160281412035627,0.26621131946657023
^GSPC,0.13531085128254824,0.2173650740249803,0.5784402664592055,1.0,-0.45320295259414933,0.2197280829633649,0.5308018666826323
BRL=X,-0.4644759646542213,-0.5383370334223817,-0.7023481399298925,-0.45320295259414933,1.0,-0.23416151553178413,-0.1725617467736309
GC=F,0.31290422596753265,0.260979237574599,0.29160281412035627,0.2197280829633649,-0.23416151553178413,1.0,0.10377103510692336
BTC-USD,-0.006431738578601999,0.16900658731112703,0.26621131946657023,0.5308018666826323,-0.1725617467736309,0.10377103510692336,1.0
