Date,IRFM11.SA,IMAB11.SA,^BVSP,^GSPC,BRL=X,GC=F,BTC-USD
2015-01-01,,,46908.0,1994.989990234375,2.678800106048584,1278.5,217.46400451660156
2015-02-01,,,51583.0,2104.5,2.9049999713897705,,254.26300048828125
2015-03-01,,,51150.0,2067.889892578125,3.2260000705718994,,244.2239990234375
2015-04-01,,,56229.0,2085.510009765625,2.952699899673462,1182.4000244140625,236.14500427246094
2015-05-01,,,52760.0,2107.389892578125,3.158400058746338,1189.4000244140625,230.19000244140625
2015-06-01,,,53081.0,2063.110107421875,3.115000009536743,1171.5,263.0719909667969
2015-07-01,,,50865.0,2103.840087890625,3.370800018310547,1094.9000244140625,284.6499938964844
2015-08-01,,,46626.0,1972.1800537109375,3.578700065612793,1131.5999755859375,230.05599975585938
2015-09-01,,,45059.0,1920.030029296875,4.0543999671936035,1115.5,236.05999755859375
2015-10-01,,,45869.0,2079.360107421875,3.8447000980377197,1141.5,314.1659851074219
2015-11-01,,,45120.0,2080.409912109375,3.841399908065796,,377.3210144042969
2015-12-01,,,43350.0,2043.93994140625,3.956700086593628,1060.300048828125,430.5669860839844
2016-01-01,,,40406.0,1940.239990234375,4.066999912261963,1116.4000244140625,368.7669982910156
2016-02-01,,,42794.0,1932.22998046875,3.9646999835968018,1233.9000244140625,437.6969909667969
2016-03-01,,,50055.0,2059.739990234375,3.596100091934204,1234.199951171875,416.72900390625
2016-04-01,,,53911.0,2065.300048828125,3.432800054550171,1289.199951171875,448.3179931640625
2016-05-01,,,48472.0,2096.949951171875,3.5673999786376953,,531.385986328125
2016-06-01,,,51527.0,2098.860107421875,3.237600088119507,1318.4000244140625,673.3369750976562
2016-07-01,,,57308.0,2173.60009765625,3.2462000846862793,1349.0,624.6810302734375
2016-08-01,,,57901.0,2170.949951171875,3.236799955368042,1306.9000244140625,575.4719848632812
2016-09-01,,,58367.0,2168.27001953125,3.2592999935150146,1313.300048828125,609.7349853515625
2016-10-01,,,64925.0,2126.14990234375,3.2030999660491943,1271.5,700.9719848632812
2016-11-01,,,61906.0,2198.81005859375,3.4537999629974365,1170.800048828125,745.6909790039062
2016-12-01,,,60227.0,2238.830078125,3.253200054168701,1150.0,963.7429809570312
2017-01-01,,,64671.0,2278.8701171875,3.125499963760376,,970.4030151367188
2017-02-01,,,66662.0,2363.639892578125,3.105299949645996,1252.5999755859375,1179.969970703125
2017-03-01,,,64984.0,2362.719970703125,3.147700071334839,1247.300048828125,1071.7900390625
2017-04-01,,,65403.0,2384.199951171875,3.176100015640259,1266.0999755859375,1347.8900146484375
2017-05-01,,,62711.0,2411.800048828125,3.256200075149536,1272.0,2286.409912109375
2017-06-01,,,62900.0,2423.409912109375,3.3027000427246094,1240.699951171875,2480.840087890625
2017-07-01,,,65920.0,2470.300048828125,3.1777000427246094,1266.5999755859375,2875.340087890625
2017-08-01,,,70835.0,2471.64990234375,3.158799886703491,1316.199951171875,4703.39013671875
2017-09-01,,,74294.0,2519.360107421875,3.1809000968933105,1281.5,4338.7099609375
2017-10-01,,,74308.0,2575.260009765625,3.2873001098632812,,6468.39990234375
2017-11-01,,,71971.0,2647.580078125,3.244800090789795,1273.199951171875,10233.599609375
2017-12-01,,,76402.0,2673.610107421875,3.311000108718872,1306.300048828125,14156.400390625
2018-01-01,,,84913.0,2823.81005859375,3.179500102996826,1339.0,10221.099609375
2018-02-01,,,85481.0,2713.830078125,3.248500108718872,1315.5,10397.900390625
2018-03-01,,,85366.0,2640.8701171875,3.3036000728607178,1322.800048828125,6973.52978515625
2018-04-01,,,86115.0,2648.050048828125,3.4581000804901123,,9240.5498046875
2018-05-01,,,76754.0,2705.27001953125,3.722100019454956,1300.0999755859375,7494.169921875
2018-06-01,,,72763.0,2718.3701171875,3.859499931335449,1251.300048828125,6404.0
2018-07-01,,,79220.0,2816.2900390625,3.728100061416626,,7780.43994140625
2018-08-01,,,76678.0,2901.52001953125,4.148600101470947,1200.300048828125,7037.580078125
2018-09-01,,,79342.0,2913.97998046875,4.047999858856201,1191.5,6625.56005859375
2018-10-01,,,87424.0,2711.739990234375,3.6946001052856445,1212.300048828125,6317.60986328125
2018-11-01,,,89504.0,2760.169921875,3.8510000705718994,1220.199951171875,4017.2685546875
2018-12-01,,,87887.0,2506.85009765625,3.8742001056671143,1278.300048828125,3742.700439453125
2019-01-01,,,97394.0,2704.10009765625,3.6814000606536865,1319.699951171875,3457.792724609375
2019-02-01,,,95584.0,2784.489990234375,3.727299928665161,1312.800048828125,3854.785400390625
2019-03-01,,,95415.0,2834.39990234375,3.921600103378296,1293.0,4105.404296875
2019-04-01,,,96353.0,2945.830078125,3.9442999362945557,1282.800048828125,5350.7265625
2019-05-01,,69.5,97030.0,2752.06005859375,3.9800000190734863,1305.800048828125,8574.501953125
2019-06-01,,72.62000274658203,100967.0,2941.760009765625,3.815999984741211,1409.699951171875,10817.1552734375
2019-07-01,,73.61000061035156,101812.0,2980.3798828125,3.789299964904785,1426.0999755859375,10085.6279296875
2019-08-01,,73.12000274658203,101135.0,2926.4599609375,4.168099880218506,1519.0999755859375,9630.6640625
2019-09-01,61.0,74.87000274658203,104745.0,2976.739990234375,4.157100200653076,,8293.8681640625
2019-10-01,62.0,77.55000305175781,107220.0,3037.56005859375,3.9862000942230225,1511.4000244140625,9199.5849609375
2019-11-01,61.560001373291016,75.87000274658203,108233.0,3140.97998046875,4.235199928283691,1465.5999755859375,7569.6298828125
2019-12-01,61.90999984741211,76.25,115645.0,3230.780029296875,4.015710830688477,,7193.59912109375
