,0
IRFM11.SA,0.0
IMAB11.SA,0.0
^BVSP,2.3799604180199263e-07
^GSPC,1.9449392813815234e-07
BRL=X,0.08984140015011059
GC=F,0.6857965966830935
BTC-USD,0.22436157067682597
