,Peso_Rebalanceado
BRL=X,3.523730985459778e-05
BTC-USD,0.9023904305180117
GC=F,0.09542477015346425
IMAB11.SA,0.0
IRFM11.SA,0.0009119302298515139
^BVSP,6.457992377811527e-07
^GSPC,0.0012369859895801237
,
